District,Location
FAZILKA,Sohangarh Ratte-D
FAZILKA,Sohangarh Ratte-M
FAZILKA,Sohangarh Ratte-S
FAZILKA,Swah Wala- Pz
FAZILKA,Tehqualandar
FIROZPUR,Bara Mansur Wala-Pz
FIROZPUR,Chak Kandhe Shah-Pz
FIROZPUR,Chamb-Pz
FIROZPUR,Dulchi Ke-Pz
FIROZPUR,Gogiani-Pz
FIROZPUR,Jaimal wala-Pz
FIROZPUR,Jang-Pz
FIROZPUR,Katoran-Pz
FIROZPUR,Lauhke Kalan- Pz
FIROZPUR,Lohere Khurd-Pz
FIROZPUR,Machi Bugra/ Gujran-Pz
FIROZPUR,Mallanwala Khas-Pz
FIROZPUR,Malluwala-Pz
FIROZPUR,Malsian-Pz
FIROZPUR,Mana Singh Wala-Pz
FIROZPUR,Mohkam Khan Wala-Pz
FIROZPUR,Mohre Wala-Pz
FIROZPUR,Mudki-Pz
FIROZPUR,Piyarana
FIROZPUR,Rala Hazi- Pz
FIROZPUR,Rukne Wala-Pz
FIROZPUR,Sadhusha Wala-Pz
FIROZPUR,Sultan Khan Wala Urf-Pz
FIROZPUR,Talwandi Jalle Khan-pz
FIROZPUR,Tibbi Kalan-Pz
FIROZPUR,Tibbi Taiwan Laluwalla-Pz
FIROZPUR,Wage Wala-Pz
GURDASPUR,Bariyar
GURDASPUR,Batala-Pz
GURDASPUR,Bhagowal
GURDASPUR,Bham
GURDASPUR,Bilasbal-Pz
GURDASPUR,Chahal Kalan-Pz
GURDASPUR,Chahgill-Pz
GURDASPUR,Chone-Pz
GURDASPUR,Choranwali-D
GURDASPUR,Choranwali-M
GURDASPUR,Choranwali-S
GURDASPUR,Dakoha-Pz
GURDASPUR,Dera Baba Nanak
GURDASPUR,Dhandoi-Pz
GURDASPUR,Dhianpur
GURDASPUR,Dinanagar
GURDASPUR,Dostpur-Pz
GURDASPUR,Gajikort-Pz
GURDASPUR,Galri
GURDASPUR,Ghania Ki bangar- Pz
GURDASPUR,Ghuman-D
GURDASPUR,Ghuman-M
GURDASPUR,Ghuman-S
GURDASPUR,Ghumani Khurd-Pz
GURDASPUR,Gurdaspur-Pz
GURDASPUR,Harchowal-Pz
GURDASPUR,Harchowal-Pz-D
GURDASPUR,Harchowal-Pz-M
GURDASPUR,Harchowal-Pz-S
GURDASPUR,Hargobindpur
GURDASPUR,Hargobindpur1
GURDASPUR,Harowal
GURDASPUR,Hassanpur Kalan-Pz
GURDASPUR,Jhabkra
GURDASPUR,Jhandalbana-Pz
GURDASPUR,Kala Afgana-Pz
GURDASPUR,Kalanaur-DW
GURDASPUR,Kalanaur-Pz
GURDASPUR,Kalerkalan-Pz
GURDASPUR,Kaure-Pz
GURDASPUR,Khan Fatta-Pz
GURDASPUR,Khanmalik-Pz
GURDASPUR,Khatgarh-Pz
GURDASPUR,Lakankala-Pz
GURDASPUR,Langurwal-Pz
